setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
raw_observed_depth,11,0.0,0,0,,,,
raw_observed_depth,11,0.0,1,3,-0.037291835993528366,-0.046561188995838165,0.0677669420838356,0.3333333333333333
raw_observed_depth,11,0.0,2,2,0.010256517678499222,0.010256517678499222,0.07829330861568451,0.5
raw_observed_depth,11,0.0,3,13,0.034519679844379425,0.008555307984352112,0.1707383692264557,0.5384615384615384
raw_observed_depth,11,0.0,4,0,,,,
raw_observed_depth,11,0.0,5,132,-0.4409711956977844,-0.4646388590335846,0.1000443771481514,0.0
raw_observed_depth,11,0.0,6,150,-0.03920002654194832,-0.032112691551446915,0.16387400031089783,0.41333333333333333
raw_observed_depth,11,0.0,7,0,,,,
raw_observed_depth,11,1.0,0,6,0.13070432841777802,0.12152735888957977,0.08818051218986511,1.0
raw_observed_depth,11,1.0,1,58,0.04161174222826958,0.054780200123786926,0.09625675529241562,0.7068965517241379
raw_observed_depth,11,1.0,2,89,0.12481647729873657,0.12682697176933289,0.06341720372438431,0.9775280898876404
raw_observed_depth,11,1.0,3,42,-0.08332418650388718,-0.10222315043210983,0.18298004567623138,0.2857142857142857
raw_observed_depth,11,1.0,4,4,0.22869497537612915,0.2769564092159271,0.13078181445598602,1.0
raw_observed_depth,11,1.0,5,2,-0.3194727599620819,-0.3194727599620819,0.06986525654792786,0.0
raw_observed_depth,11,1.0,6,99,0.026272263377904892,0.033260539174079895,0.07422978430986404,0.7272727272727273
raw_observed_depth,11,1.0,7,0,,,,
raw_observed_depth,11,2.0,0,74,0.0779089480638504,0.008613236248493195,0.20247438549995422,0.5405405405405406
raw_observed_depth,11,2.0,1,110,-0.06038915365934372,-0.0770849734544754,0.057331763207912445,0.14545454545454545
raw_observed_depth,11,2.0,2,47,-0.0430111438035965,-0.06657684594392776,0.12244081497192383,0.1276595744680851
raw_observed_depth,11,2.0,3,9,0.033019255846738815,-0.024447284638881683,0.22057639062404633,0.3333333333333333
raw_observed_depth,11,2.0,4,56,0.21338129043579102,0.1918240338563919,0.13015246391296387,1.0
raw_observed_depth,11,2.0,5,0,,,,
raw_observed_depth,11,2.0,6,0,,,,
raw_observed_depth,11,2.0,7,4,-0.05008077621459961,-0.03566331788897514,0.04521153122186661,0.0
raw_observed_depth,11,3.0,0,46,0.13930760324001312,0.03744484484195709,0.33249202370643616,0.5434782608695652
raw_observed_depth,11,3.0,1,146,-0.15011794865131378,-0.18528816103935242,0.10120216012001038,0.11643835616438356
raw_observed_depth,11,3.0,2,28,-0.16064335405826569,-0.18913273513317108,0.09635622799396515,0.07142857142857142
raw_observed_depth,11,3.0,3,13,-0.09119008481502533,-0.09134576469659805,0.11593945324420929,0.23076923076923078
raw_observed_depth,11,3.0,4,50,0.09710811823606491,0.02617580071091652,0.19476492702960968,0.6
raw_observed_depth,11,3.0,5,0,,,,
raw_observed_depth,11,3.0,6,0,,,,
raw_observed_depth,11,3.0,7,17,0.01550278253853321,-0.01564391702413559,0.14725464582443237,0.47058823529411764
raw_observed_depth,11,4.0,0,80,0.41088923811912537,0.39334428310394287,0.30757254362106323,0.925
raw_observed_depth,11,4.0,1,17,-0.14714685082435608,-0.16876506805419922,0.10653761774301529,0.11764705882352941
raw_observed_depth,11,4.0,2,5,-0.10752807557582855,-0.1582828164100647,0.0743943378329277,0.0
raw_observed_depth,11,4.0,3,11,0.030228855088353157,-0.03782103955745697,0.22137437760829926,0.36363636363636365
raw_observed_depth,11,4.0,4,9,0.04233935475349426,0.06717425584793091,0.11684495955705643,0.6666666666666666
raw_observed_depth,11,4.0,5,0,,,,
raw_observed_depth,11,4.0,6,0,,,,
raw_observed_depth,11,4.0,7,178,0.10610847175121307,0.09392786771059036,0.20311325788497925,0.6741573033707865
equal_depth,42,0.0,0,0,,,,
equal_depth,42,0.0,1,3,0.031247930601239204,0.018515847623348236,0.06698733568191528,0.6666666666666666
equal_depth,42,0.0,2,2,0.10476036369800568,0.10476036369800568,0.10686086118221283,0.5
equal_depth,42,0.0,3,13,-0.06456505507230759,-0.06785806268453598,0.1319887340068817,0.38461538461538464
equal_depth,42,0.0,4,0,,,,
equal_depth,42,0.0,5,132,-0.42515212297439575,-0.4470961391925812,0.0717715248465538,0.0
equal_depth,42,0.0,6,150,-0.0330827571451664,-0.013607583940029144,0.16580428183078766,0.4533333333333333
equal_depth,42,0.0,7,0,,,,
equal_depth,42,1.0,0,6,0.14503364264965057,0.13946190476417542,0.0651426687836647,1.0
equal_depth,42,1.0,1,58,-0.005834136623889208,0.017388783395290375,0.08215983957052231,0.5689655172413793
equal_depth,42,1.0,2,89,0.1068912222981453,0.10277216881513596,0.059471115469932556,0.9775280898876404
equal_depth,42,1.0,3,42,-0.13415458798408508,-0.14277249574661255,0.15007470548152924,0.19047619047619047
equal_depth,42,1.0,4,4,0.09813328832387924,0.08894219994544983,0.09024489670991898,1.0
equal_depth,42,1.0,5,2,-0.3316464126110077,-0.3316464126110077,0.03513714671134949,0.0
