method,endpoint_mmd,sliced_w2,path_length,path_energy_action,straightness_action_S,tortuosity_straightness,off_manifold_knn_k15,coarse_step_error_nfe4_vs_nfe64,off_manifold_reference,training_space,endpoint_metric_space
random_cfm,0.0018990186112325946,0.0719986336816566,3.6372243927048533,14.353045776031673,5.58014032474396,0.3632010392325544,2.444850381684261,0.9917417764663696,all available EB snapshots in standardized PC-20,standardized PC-20,standardized PC-20 real target
ot_cfm,0.0011576812469102915,0.059819993519094124,2.5964101498431678,7.510583195536098,0.44840661317249897,0.032143194483744926,2.4925519114906747,0.31195706129074097,all available EB snapshots in standardized PC-20,standardized PC-20,standardized PC-20 real target
reflow_1,0.0016029363377711991,0.06556566106032309,2.4795208786887963,6.7969216168780004,0.04714210050188569,0.0029952163608406484,2.5481992325238547,0.1240897923707962,all available EB snapshots in standardized PC-20,standardized PC-20,standardized PC-20 real target
reflow_2,0.0020098630631677494,0.07135596301491899,2.453886715289948,6.622884956942127,0.03316035509088794,0.002143525770830538,2.5499275778408124,0.10330963134765625,all available EB snapshots in standardized PC-20,standardized PC-20,standardized PC-20 real target
