representation,epsilon,coupling_l1_vs_other,topk_nn_overlap_k15,mean_sampled_pair_distance_pc20,mean_sampled_pair_distance_phate,normalized_expected_cost,entropy,effective_support,sinkhorn_converged,claim_boundary
pc20_coupling,0.05,1.850320055646663,0.004708143165986068,4.031852722167969,68.67060852050781,0.4999065880434739,12.804322030785247,363786.3525605929,True,PHATE coupling is a contrastive display diagnostic only; no EB model trained in PHATE
phate2_contrastive_diagnostic,0.05,1.850320055646663,0.004708143165986068,5.947911262512207,49.76145935058594,0.6435966753229242,15.024996906506649,3351762.572581424,True,PHATE coupling is a contrastive display diagnostic only; no EB model trained in PHATE
