method,endpoint_mmd,sliced_w2,mean_pc20_chord_length,median_pc20_chord_length,std_pc20_chord_length,midpoint_direction_angular_std_mean_deg,midpoint_direction_angular_std_median_deg,midpoint_direction_angular_std_iqr_deg,training_space,cost_space,display_space,endpoint_metric_space
random_cfm,0.0018990186112325946,0.0719986336816566,5.98159646987915,5.935453414916992,1.2195255756378174,14.348599361605011,13.917706489562988,4.795257568359375,standardized PC-20,independent product coupling,PHATE 2D only for figures,standardized PC-20
ot_cfm,0.0011576812469102915,0.059819993519094124,4.043025970458984,3.9162964820861816,1.0072529315948486,10.769610669405665,10.69004774093628,2.694265604019165,standardized PC-20,standardized PC-20,PHATE 2D only for figures,standardized PC-20
