pair_id,source_idx,target_idx,source_global_node,target_global_node,t,graph_path_num_nodes,connected_pair,used_fallback,pair_selection_mode,main_figure_pair_selection_mode,no_metric_based_pair_selection,state_space,visualization_space,straight_minus_graph_density_percentile,straight_minus_graph_knn_radius,interpretation,path_type,density_radius_percentile,knn_radius,selected_for_main_figure
2,38,1619,2419,8163,0.75,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,-18.800166478387535,-0.26603126525878906,"density-aware diagnostic, not lineage inference",knn_graph_shortest_path,45.42481717105654,2.7028136253356934,False
3,394,1599,2775,8143,0.25,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,23.152387181164162,0.3681983947753906,"density-aware diagnostic, not lineage inference",straight_chord,42.36874962839646,2.6638078689575195,False
3,394,1599,2775,8143,0.25,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,23.152387181164162,0.3681983947753906,"density-aware diagnostic, not lineage inference",knn_graph_shortest_path,19.216362447232296,2.295609474182129,False
3,394,1599,2775,8143,0.5,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10.957845294012724,0.16759252548217773,"density-aware diagnostic, not lineage inference",straight_chord,35.66799452999584,2.5720667839050293,False
3,394,1599,2775,8143,0.5,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,10.957845294012724,0.16759252548217773,"density-aware diagnostic, not lineage inference",knn_graph_shortest_path,24.710149235983113,2.4044742584228516,False
3,394,1599,2775,8143,0.75,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,17.771567869671205,0.2470998764038086,"density-aware diagnostic, not lineage inference",straight_chord,47.05987276294667,2.7246460914611816,False
3,394,1599,2775,8143,0.75,5,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,17.771567869671205,0.2470998764038086,"density-aware diagnostic, not lineage inference",knn_graph_shortest_path,29.288304893275463,2.477546215057373,False
4,4011,716,6392,7260,0.25,4,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,16.618110470301446,0.28812503814697266,"density-aware diagnostic, not lineage inference",straight_chord,77.75135263689874,3.1998863220214844,False
4,4011,716,6392,7260,0.25,4,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,16.618110470301446,0.28812503814697266,"density-aware diagnostic, not lineage inference",knn_graph_shortest_path,61.1332421665973,2.9117612838745117,False
4,4011,716,6392,7260,0.5,4,True,False,ot_coupling_seeded_sample_no_metric_filter,evenly_spaced_connected_pair_ids_no_metric_filter,True,20D PC X_cost,PHATE 2D only,5.2678518342350955,0.06923222541809082,"density-aware diagnostic, not lineage inference",straight_chord,56.947499851358586,2.851134777069092,False
