model_training_representation,native_endpoint_mmd,native_sliced_w2,program_readout_mmd,program_readout_sliced_w2,program_readout_mae,program_readout_mean_abs_error,fate_mass_error,fate_mass_error_note,native_metric_cross_representation_comparable,native_metric_scope,readout_space,claim_boundary
pca30,0.005912008612922737,0.11579603276803009,0.009939593949430336,0.13921211144573176,0.032736795544624386,0.032736795544624386,0.02499999999999994,"PCA endpoint inverse-transformed to expression, then read out as 4D gene-program scores for target-readout KNN classifier",False,pca30 native representation only; do not rank native metric values across representations,shared toy 4D gene-program scores,toy representation sensitivity only; toy fate labels are not generalized to EB
program4,0.001082342466610986,0.14144729125902744,0.0012615231166228646,0.1427200860787599,0.04086173813790073,0.04086173813790073,0.049999999999999906,terminal fate predicted from generated Program-4 readout with target-readout KNN classifier,False,program4 native representation only; do not rank native metric values across representations,shared toy 4D gene-program scores,toy representation sensitivity only; toy fate labels are not generalized to EB
