minibatch_size,repeats,expected_cost_mean,expected_cost_std,effective_support_mean,effective_support_std
64,10,0.6186972927234138,0.02006961679653304,365.21602257062386,38.4992334568222
128,10,0.5922493051296974,0.01872581235731754,1067.6613604047604,61.59696704423428
256,10,0.5538235101407883,0.015498310480819606,3189.3553390773473,202.26376958947768
512,10,0.5337135972904135,0.006848205883041154,10278.906005263669,247.4385069912136
full,1,0.4999065880434739,,363786.3525605929,
