pair_id,source_idx,target_idx,source_graph_node,target_graph_node,euclidean_distance,graph_path_num_nodes,graph_path_length,straight_path_length,path_length_ratio,used_fallback,straight_mid_knn_radius,graph_mid_knn_radius,straight_minus_graph_mid_knn_radius,straight_mid_density_percentile,graph_mid_density_percentile,straight_minus_graph_density_percentile,k_graph,n_components,n_edges_undirected,graph_density,largest_component_fraction,graph_k_grid_tried,graph_components_by_k,graph_selection_note,candidate_set_size,selected_for_figure,selected_rank,selected_reason
1173,289,358,1889,3558,1.1656103134155273,11,2.016998529434204,1.1656103134155273,1.7304226860552547,False,0.031920694799345596,0.30731995730645756,-0.27539926250711194,72.25,100.0,-27.75,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1174,669,660,2269,3860,1.6061005592346191,7,1.6071515083312988,1.6061005592346191,1.0006543482539976,False,0.06980195460654333,0.06992224014162385,-0.00012028553508051931,94.0,94.05,-0.04999999999999716,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1175,75,633,1675,3833,1.3683011531829834,9,1.9298932552337646,1.3683011531829834,1.4104301898338598,False,0.020127150366089704,0.2902079052329865,-0.2700807548668968,36.9,100.0,-63.1,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1176,68,683,1668,3883,1.4294384717941284,14,2.0701565742492676,1.4294384717941284,1.448230626989461,False,0.01699990467965366,0.3124612914588076,-0.2954613867791539,17.125,100.0,-82.875,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1177,630,554,2230,3754,1.414947748184204,16,2.166249990463257,1.414947748184204,1.5309752556185876,False,0.02324391628488722,0.3125207658294415,-0.2892768495445543,51.425,100.0,-48.575,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1178,679,725,2279,3925,1.5232222080230713,16,2.144727945327759,1.5232222080230713,1.4080204017713966,False,0.016230715486477018,0.3178033167005837,-0.3015726012141067,13.15,100.0,-86.85,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1179,157,165,1757,3365,1.4474579095840454,16,2.2091124057769775,1.4474579095840454,1.5262014813348237,False,0.03414408623968562,0.2815549283141794,-0.24741084207449376,75.325,100.0,-24.674999999999997,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1180,555,489,2155,3689,1.4405057430267334,15,2.1189448833465576,1.4405057430267334,1.4709728812981437,False,0.02694044270125096,0.26017814729255057,-0.2332377045912996,62.7,100.0,-37.3,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1181,347,676,1947,3876,1.3299230337142944,11,1.9964817762374878,1.3299230337142944,1.5012009910540351,False,0.019887806352719646,0.28845231322932874,-0.2685645068766091,35.775,100.0,-64.225,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1182,764,648,2364,3848,1.6769893169403076,17,2.4974112510681152,1.6769893169403076,1.489223113015818,False,0.09669828815967425,0.19807600593912378,-0.10137771777944952,97.875,100.0,-2.125,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1183,87,328,1687,3528,1.3510006666183472,10,1.9662309885025024,1.3510006666183472,1.4553886145919688,False,0.021884730773963718,0.31094668000729714,-0.2890619492333334,45.824999999999996,100.0,-54.175000000000004,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1184,177,279,1777,3479,1.515313744544983,9,1.558997392654419,1.515313744544983,1.0288281210849528,False,0.14483945384094435,0.09404475087185823,0.050794702969086114,99.675,97.65,2.0249999999999915,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1185,243,237,1843,3437,1.5134453773498535,19,2.2318241596221924,1.5134453773498535,1.4746644927022534,False,0.016748054099795254,0.3145435885245502,-0.297795534424755,15.925,100.0,-84.075,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1186,119,332,1719,3532,1.3283172845840454,11,1.9461500644683838,1.3283172845840454,1.4651243999115837,False,0.021680934334368067,0.25834480906989127,-0.2366638747355232,44.925,100.0,-55.075,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1187,43,766,1643,3966,1.3891584873199463,11,1.9821494817733765,1.3891584873199463,1.4268706557719462,False,0.0226107413443861,0.3240266059022936,-0.3014158645579075,48.775,100.0,-51.225,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1188,739,363,2339,3563,1.6750288009643555,18,2.274155616760254,1.6750288009643555,1.3576815010290966,False,0.020195781379971797,0.29728406786636297,-0.27708828648639117,37.225,100.0,-62.775,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
