epsilon,expected_cost_normalized,cost_scale,entropy,effective_support,sinkhorn_converged,sinkhorn_n_iter,row_l1_error,col_l1_error,warning_message,mean_pair_distance_pc20,mean_pair_distance_phate_display_only,cost_space,phate_distance_role
0.01,0.4074301413373211,34.754093170166016,9.499214254923203,13349.233613114602,True,430,2.480383520103713e-16,1.1912854566903993e-08,,3.614157199859619,69.12266540527344,standardized PC-20 median-normalized,display diagnostic only
0.02,0.4223241413289568,34.754093170166016,10.49027071376197,35963.89198794554,True,200,6.311682947124364e-16,1.0530121503167685e-08,,3.6930413246154785,68.3747329711914,standardized PC-20 median-normalized,display diagnostic only
0.05,0.4999065880434739,34.754093170166016,12.804322030785247,363786.3525605929,True,70,1.2952421253598079e-15,4.120741493255503e-09,,4.052078723907471,69.70387268066406,standardized PC-20 median-normalized,display diagnostic only
0.1,0.6260513949545218,34.754093170166016,14.576653112236245,2140720.713344149,True,30,1.5003460713397532e-15,9.251919225313973e-09,,4.533552169799805,70.14591979980469,standardized PC-20 median-normalized,display diagnostic only
0.5,0.9539802691337118,34.754093170166016,16.31233535877048,12143873.462036448,True,10,1.0569073827931819e-15,5.453157456841717e-15,,5.6275835037231445,68.73509979248047,standardized PC-20 median-normalized,display diagnostic only
