pair_id,source_idx,target_idx,graph_path_num_nodes,used_fallback,selected_reason,t,path_type,density_radius_percentile,knn_radius
1710,98,460,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,99.85000000000001,0.1701114944531776
1710,98,460,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,99.825,0.16221100268220734
1788,492,505,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.23196758506132953
1788,492,505,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.22927468534197226
1788,492,505,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,92.30000000000001,0.0621495505461806
1788,492,505,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,89.95,0.05583369419656568
1788,492,505,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.19697537782187605
1788,492,505,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,99.97500000000001,0.18849413995400274
1708,650,89,9,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,99.45,0.12674223485821892
1708,650,89,9,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,99.45,0.1267871555664893
1708,650,89,9,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,93.65,0.06778260817932218
1708,650,89,9,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,90.17500000000001,0.05650402763697275
1708,650,89,9,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.24826362821698322
1708,650,89,9,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.24642881041908976
956,436,191,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.23119876712781356
956,436,191,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.21995014849770464
956,436,191,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,93.85,0.06889736955127054
956,436,191,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,90.7,0.05746671330702356
956,436,191,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.24051661536706373
956,436,191,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.23526883555692743
1038,59,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.22860022608357905
1038,59,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.2271908770700726
1038,59,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,93.45,0.06724837220679533
1038,59,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,91.025,0.058144523679676936
1038,59,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.21350901408479006
1038,59,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.2126206232103867
2279,127,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.24421661008287585
2279,127,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.24050944572545138
2279,127,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,91.975,0.061324348827825635
2279,127,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,89.525,0.05474473138049429
2279,127,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.2048598452625719
2279,127,574,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.2037191230935737
1298,321,320,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.2117777988956784
1298,321,320,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.19960346204206925
1298,321,320,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,97.02499999999999,0.08808684449779006
1298,321,320,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,94.025,0.06984963527603061
1298,321,320,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.26353081972829984
1298,321,320,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.24900129049502084
21,292,690,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.2054059458390533
21,292,690,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.20923121423679777
21,292,690,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,92.4,0.062408505823159065
21,292,690,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,91.10000000000001,0.058343246474842854
21,292,690,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.2645163661428544
21,292,690,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.2525428987082764
1924,628,57,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.2097978527352752
1924,628,57,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.21075512696742557
1924,628,57,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,89.725,0.05544774261492959
1924,628,57,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,87.97500000000001,0.051446655599557564
1924,628,57,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.2343404689217743
1924,628,57,6,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.2326446422702929
2124,309,403,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,straight_chord,100.0,0.22366272251670422
2124,309,403,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.25,knn_graph_shortest_path,100.0,0.2270075251564424
2124,309,403,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,straight_chord,88.1,0.05189850976104424
2124,309,403,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.5,knn_graph_shortest_path,84.275,0.04407773110069562
2124,309,403,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,straight_chord,100.0,0.2643113716970673
2124,309,403,7,False,nonfallback_nodes_ge4_upper_half_positive_midpoint_difference,0.75,knn_graph_shortest_path,100.0,0.24584559141520868
