setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
raw_observed_depth,11,0.0,0,0,,,,
raw_observed_depth,11,0.0,1,1,0.04589558020234108,0.04589558020234108,0.0,1.0
raw_observed_depth,11,0.0,2,0,,,,
raw_observed_depth,11,0.0,3,10,-0.03800066560506821,-0.053274523466825485,0.046069834381341934,0.2
raw_observed_depth,11,0.0,4,0,,,,
raw_observed_depth,11,0.0,5,53,-0.11454497277736664,-0.12113331258296967,0.03311123698949814,0.0
raw_observed_depth,11,0.0,6,56,-0.07119351625442505,-0.07574564218521118,0.038783758878707886,0.03571428571428571
raw_observed_depth,11,0.0,7,0,,,,
raw_observed_depth,11,1.0,0,0,,,,
raw_observed_depth,11,1.0,1,22,-0.05033757537603378,-0.047215599566698074,0.03406208008527756,0.09090909090909091
raw_observed_depth,11,1.0,2,33,-0.057125989347696304,-0.06291812658309937,0.03616848215460777,0.09090909090909091
raw_observed_depth,11,1.0,3,18,-0.008246500045061111,-0.016754120588302612,0.04674459621310234,0.2777777777777778
raw_observed_depth,11,1.0,4,1,0.015948586165905,0.015948586165905,0.0,1.0
raw_observed_depth,11,1.0,5,0,,,,
raw_observed_depth,11,1.0,6,45,-0.028732620179653168,-0.023789312690496445,0.02843533083796501,0.2
raw_observed_depth,11,1.0,7,1,0.11770780384540558,0.11770780384540558,0.0,1.0
raw_observed_depth,11,2.0,0,31,0.045636482536792755,0.04137895256280899,0.050863560289144516,0.8387096774193549
raw_observed_depth,11,2.0,1,51,-0.07539501786231995,-0.08493411540985107,0.045657169073820114,0.058823529411764705
raw_observed_depth,11,2.0,2,18,-0.03388787806034088,-0.06598548591136932,0.07987598329782486,0.2222222222222222
raw_observed_depth,11,2.0,3,5,-0.03387865051627159,-0.027880888432264328,0.03356587141752243,0.2
raw_observed_depth,11,2.0,4,15,0.028863731771707535,0.01894296146929264,0.06963156908750534,0.7333333333333333
raw_observed_depth,11,2.0,5,0,,,,
raw_observed_depth,11,2.0,6,0,,,,
raw_observed_depth,11,2.0,7,0,,,,
raw_observed_depth,11,3.0,0,22,0.09306039661169052,0.0837806910276413,0.09367746114730835,0.8181818181818182
raw_observed_depth,11,3.0,1,55,-0.05102458968758583,-0.0593017153441906,0.051084984093904495,0.16363636363636364
raw_observed_depth,11,3.0,2,12,-0.06039510294795036,-0.05760594457387924,0.04269944503903389,0.08333333333333333
raw_observed_depth,11,3.0,3,6,0.049499791115522385,0.06791501492261887,0.07122752815485,0.6666666666666666
