equal_seed,eval_time,spearman_growth_rank,pearson_growth,sign_agreement,top_expanding_overlap_k3,top_shrinking_overlap_k3,mean_abs_delta_g,max_abs_delta_g
42,0.0,0.8999999999999998,0.9910892757401228,0.8,1.0,0.6666666666666666,0.5928280057385564,0.652949869632721
42,1.0,1.0,0.9982772750210898,0.75,1.0,1.0,0.19079287529166322,0.2408047765493393
42,2.0,0.9642857142857145,0.9969076413739925,0.5714285714285714,1.0,0.6666666666666666,0.06288777398211616,0.08078853785991669
42,3.0,1.0,0.9977810913521609,1.0,1.0,1.0,0.028373951247582834,0.04214638937264681
42,4.0,1.0,0.9981371638810937,1.0,1.0,1.0,0.17014526389539242,0.2163165807723999
43,0.0,0.8999999999999998,0.9924534104598935,0.6,1.0,0.6666666666666666,0.6153703754767775,0.7120230197906494
43,1.0,1.0,0.9983741994005737,0.75,1.0,1.0,0.17554312851279974,0.2714468389749527
43,2.0,0.8571428571428573,0.9926931027676714,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.07027847273275256,0.09720019809901714
43,3.0,1.0,0.9963783632000165,1.0,1.0,1.0,0.036085571123597525,0.0528266669716686
43,4.0,1.0,0.9944424343757262,1.0,1.0,1.0,0.1884625038752953,0.23584753274917603
44,0.0,0.8999999999999998,0.9978551641570986,0.6,1.0,0.6666666666666666,0.6215432398021221,0.7036783695220947
44,1.0,1.0,0.9890812787969988,0.75,1.0,1.0,0.17366164753912017,0.27133817970752716
44,2.0,0.9285714285714288,0.9930044672726898,0.42857142857142855,1.0,0.6666666666666666,0.06778777749942881,0.10096799395978451
44,3.0,0.942857142857143,0.9922735002807925,1.0,1.0,1.0,0.038469223305583,0.06681773066520691
44,4.0,1.0,0.9986014230100678,1.0,1.0,1.0,0.17338011600077152,0.1964191347360611
