equal_seed,eval_time,spearman_growth_rank,pearson_growth,sign_agreement,top_expanding_overlap_k3,top_shrinking_overlap_k3,mean_abs_delta_g,max_abs_delta_g
42,0.0,0.39999999999999997,0.9317704548484835,0.6,0.6666666666666666,0.6666666666666666,0.05681293793022633,0.09908473491668701
42,1.0,0.8571428571428573,0.96256698945782,0.8571428571428571,1.0,0.6666666666666666,0.03963270257892353,0.1305616870522499
42,2.0,0.942857142857143,0.928149360569574,0.8333333333333334,1.0,1.0,0.03570642011861006,0.08958382904529572
42,3.0,0.942857142857143,0.9780038777168681,1.0,1.0,1.0,0.01972643192857504,0.03942868858575821
42,4.0,0.942857142857143,0.9891069546112312,1.0,0.6666666666666666,0.6666666666666666,0.03798016874740521,0.07623777166008949
43,0.0,0.6,0.952611866926336,0.8,1.0,0.6666666666666666,0.05562015362083912,0.128902617841959
43,1.0,0.9642857142857145,0.97278080840726,1.0,1.0,1.0,0.027255516233188764,0.09398841857910156
43,2.0,0.6,0.6668320320871552,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.07324006990529597,0.1023794449865818
43,3.0,0.8285714285714287,0.9436827564566153,1.0,1.0,1.0,0.03346911740178863,0.06340379640460014
43,4.0,1.0,0.9665152288019755,0.8333333333333334,1.0,1.0,0.046345969351629414,0.09631102252751589
44,0.0,0.7,0.9872974750298199,0.8,1.0,0.6666666666666666,0.048226837441325186,0.10979762673377991
44,1.0,0.9285714285714288,0.9686410257440905,0.8571428571428571,1.0,0.6666666666666666,0.03597907003547464,0.0776253342628479
44,2.0,0.7714285714285715,0.7795568095946109,0.5,0.6666666666666666,0.6666666666666666,0.05749358066047231,0.10291127860546112
44,3.0,0.942857142857143,0.9436106519270497,1.0,1.0,1.0,0.035859448524812855,0.06530944630503654
44,4.0,0.942857142857143,0.9715664764658762,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.040507144605120025,0.06938791461288929
