cell_index,endpoint_distance_20d,path_length_20d,straightness_ratio_20d,quantile_group
0,8.328905390036798,9.193706100689663,1.103831256348206,upper_quantile
1,11.917112050609772,12.519519722032044,1.0505498034141123,middle
2,6.809343948596247,7.351446602895858,1.0796115834934974,middle
3,14.976532239222744,15.475112409201529,1.0332907619744596,middle
4,11.753957294373826,12.685068831920201,1.0792168555854855,middle
5,9.269181573030856,9.708200667482092,1.047363307212428,middle
6,7.20773398106904,7.669841727127161,1.0641127637717813,middle
7,7.896138343612069,8.661254184778075,1.0968974716337108,upper_quantile
8,14.450436127745053,14.893773821411665,1.030679883274623,middle
9,7.038422115892221,8.015021882298647,1.1387526565366601,upper_quantile
10,15.548195552819077,15.999494313481327,1.0290257965388416,middle
11,13.732382665022325,14.48879789752927,1.0550825920714841,middle
12,5.706605280451095,6.8837204024389855,1.206272392103286,upper_quantile
13,19.040050847556103,19.387280625684298,1.0182368093923848,lower_quantile
14,8.143662896562532,8.588129060475879,1.0545781633595073,middle
15,19.481087024481685,19.684441901952834,1.0104385795934074,lower_quantile
16,10.367851119623518,10.675070865388435,1.0296319596240568,middle
17,8.301152352174258,9.065352049340175,1.092059471353487,upper_quantile
18,10.739247082490824,11.224605617460927,1.045194838263981,middle
19,21.32052034874704,21.567586404190667,1.011588181310882,lower_quantile
20,7.241587447836383,8.117676132298067,1.1209801981640695,upper_quantile
21,7.726327162323655,8.260760298815828,1.069170399500847,middle
22,15.275565180659912,15.515970627433573,1.0157379084787013,lower_quantile
23,7.188072116580568,8.505365719978698,1.1832610444126677,upper_quantile
24,16.250246237473274,16.721401206963513,1.0289937126247202,middle
25,12.765453951353818,13.548221168315441,1.0613191837865357,middle
26,12.319565200675893,12.5807065357665,1.021197285036998,lower_quantile
27,17.412797861784433,17.573501175447102,1.009229034583544,lower_quantile
28,7.744243854563205,8.218921644690635,1.0612942721125358,middle
29,9.498301189623149,10.638695495230097,1.1200629757722174,upper_quantile
30,12.760297771204467,13.831740847480567,1.0839669336474242,middle
31,6.819361566865886,7.718532034158601,1.1318555202677083,upper_quantile
32,12.83774354017934,13.041447460188246,1.015867579794795,lower_quantile
33,12.616515758601327,13.149514568299498,1.0422461176997142,middle
34,10.725808127197894,11.186064739479123,1.0429111360955765,middle
35,5.665642767405832,6.514805686010235,1.1498793611714448,upper_quantile
36,6.748523843452429,7.950716411288626,1.1781415603951064,upper_quantile
37,8.463901229062573,11.515841957392407,1.360583216383759,upper_quantile
38,13.58203626407205,14.037761765421358,1.0335535476778852,middle
39,5.979278731484495,7.399327536136282,1.2374950003876515,upper_quantile
40,14.574259992788093,14.875215404779878,1.020649790256295,lower_quantile
41,14.232432751000086,14.879063176111565,1.0454335837326223,middle
42,10.89732362519881,11.220045093095035,1.0296147456931506,middle
43,10.58953010452337,10.855661041622907,1.0251315152299212,middle
44,7.33952220512211,7.76313346841895,1.0577164632053582,middle
