method,train_objective,train_uses_ode,steps,batch_size,wall_time_sec,mean_sec_per_step,train_nfe_per_step,final_train_loss_20d,endpoint_mmd_20d,sliced_w2_20d,sample_nfe
CFM,local_velocity_regression_20D,False,80,64,0.22414967976510525,0.0028018709970638158,1.0,7.430454730987549,0.03463315399588041,0.8904872500715015,30
CNF-Endpoint,endpoint_mse_after_adjoint_ode_solve_20D,True,80,64,3.7075986973941326,0.04634498371742666,46.0,6.301699638366699,0.254231497856795,1.4933647889522463,38
