solver,K,nfe,reference_K,wall_time_sec,mmd_20d_to_reference,endpoint_mmd_20d_to_target_val,sliced_w2_20d_to_target_val
euler,1,1,200,0.0002821441739797592,0.1240336577188873,0.13725971257314207,1.2391208790567012
euler,2,2,200,0.0009006280452013016,0.027481507248430292,0.04194045553968921,0.9077473377723603
euler,5,5,200,0.0021599065512418747,0.004073732188348382,0.01976866572583527,0.7243896845817659
euler,10,10,200,0.002565339207649231,0.0009877304918815555,0.016820494315190185,0.7445070529750498
euler,20,20,200,0.00405222550034523,0.00022694741657486306,0.01592327865693208,0.6975639157128118
euler,50,50,200,0.00997597724199295,2.5710017050921408e-05,0.015541649185681723,0.7010551695471188
euler,100,100,200,0.019059043377637863,2.877269810346028e-06,0.015438509916182092,0.7337085121844144
euler,200,200,200,0.03699462488293648,0.0,0.015391260175823932,0.6534122815233799
