pert_id,canonical_smiles
BRD-A02713983,CC(=O)O[C@@H]1CC2C(C)(C)C(=O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]13C)c5ccoc5
BRD-A02726762,COc1ccc(cc1)C#Cc1ccc2N(C)[C@@H](CO)[C@@H]3CCN([C@@H]3c2c1)S(=O)(=O)C1=NC(C)C=N1
BRD-A02747686,CNC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NNc1ccccc1
BRD-A02759312,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
BRD-A02809788,COc1ccc(cc1OC)C(=O)C2CCCN(CCc3ccccc3)C2
BRD-A02836799,OCCOc1ccccc1C1N2C(C(C(=O)N3CCCCCCC3)C11C(=O)Nc3ccccc13)C(=O)OC(C2c1ccccc1)c1ccccc1
BRD-A02990301,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
BRD-A03044413,Cc1onc(c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-c1ccccc1
BRD-A03061970,COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C
BRD-A03216249,CN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A03323675,CC(C)C(NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)NC(CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1
BRD-A03359064,OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N
BRD-A03427350,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc3ccc(cc3)S(=O)C
BRD-A03436432,COc1cccc(c1)S(=O)(=O)NC2CCN(C2)C#N
BRD-A03520402,CC(C)c1ccc(cc1)C2C3CN(C)CC=C3C(C#N)(C#N)C(=C2C#N)N
BRD-A03623303,COCCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A03684405,O=C1[C@H](Cc2ccccc2)CCn2cc(COCC3CCCN13)nn2
BRD-A03772856,COc1ccccc1C2N(C(=O)C3CCCN23)c4ccc(Cl)cc4
BRD-A03816571,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1
BRD-A03926027,NC1=C(C#N)C(c2ccc(Br)cc2)c3c(N1)c4ccccc4oc3=O
BRD-A03946276,[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1
BRD-A04020513,CCCCS(=N)(=O)CCC(N)C(=O)O
BRD-A04026261,CCCCCCCCNC(=O)C(Cc1ccc(OCc2ccncc2)cc1)NC(=O)C3CCC(CN)CC3
BRD-A04172077,COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC
BRD-A04260165,CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3
BRD-A04308630,COC(=O)C1=COC(O)C2C1CC=C2CO
BRD-A04327189,CNCC(O)c1ccc(O)cc1
BRD-A04332542,CC(=O)NCC(O)c1ccc(O)cc1
BRD-A04352665,CC(C)c1nnc(C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
BRD-A04392722,CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c2ccccc2
