split_name,method,n_target_cells,training_steps,program_readout_mmd,program_readout_sliced_w2,program_readout_mean_abs_error,program_readout_centroid_l2,program_readout_mean_mse
Split B held-out highest dose,M1_unconditional,236.5,6000.0,0.02567912224936822,0.40638312685136696,0.15056495925523383,1.033875159496494,0.04292713929584424
Split B held-out highest dose,M2_per_compound,236.5,6000.0,0.025051595481297415,0.393357583654571,0.1761789465276385,1.1790228743685005,0.054913862340154024
Split B held-out highest dose,M3_no_chemistry,236.5,6000.0,0.015609483756567316,0.35341449566313005,0.14250362769367478,0.9744238543178972,0.03901780575414176
Split B held-out highest dose,M4_chemistry_aware,236.5,6000.0,0.025822216596185485,0.38197340826336046,0.17132493769149698,1.1862004972428373,0.05578425056659746
Split B held-out highest dose,mean_shift,236.5,6000.0,0.025013588507297763,0.3811321308573974,0.14139897395130244,0.9740318559361516,0.0386906276300837
Split B held-out highest dose,vehicle_as_prediction,236.5,6000.0,0.02190148288648268,0.3722051746449688,0.16549054101232893,1.1459814557203,0.05131517146222352
Split C held-out compound,M1_unconditional,250.0,6000.0,0.10868030233272136,1.019521900156856,0.35992714125688485,2.657890909803839,0.24769838533149874
Split C held-out compound,M3_no_chemistry,250.0,6000.0,0.07806198114096302,0.953069886958932,0.3496574632249795,2.610926219590439,0.23994012764971143
Split C held-out compound,M4_chemistry_aware,250.0,6000.0,0.057813690695804804,0.7859395234888844,0.4558816693415887,3.163131773190063,0.3450862858650082
Split C held-out compound,mean_shift,250.0,6000.0,0.07768682956118936,0.8241660086222785,0.3406018995477296,2.505896389931678,0.22092381480584553
Split C held-out compound,nearest_chemistry,250.0,6000.0,0.08671272617189618,0.8325643310830565,0.3516085085893625,2.6899449231766,0.25164973516858613
Split C held-out compound,vehicle_as_prediction,250.0,6000.0,0.06352719313853089,0.7847639298613318,0.3301157637416543,2.3265461177958744,0.18883711089092997
