pc_dims,epsilon,expected_cost_raw,entropy,effective_support,row_l1_error,col_l1_error,sinkhorn_converged,sinkhorn_backend,cost_scale,l1_to_pc20_plan
5,0.05,67.78284385671972,8.478101587077632,4808.3130632191205,9.71445146547012e-17,7.961943942688676e-09,True,pot,115.80339217524721,1.3027914102411022
10,0.05,108.13697683340719,8.28314725880307,3956.627337071075,1.0842021724855044e-16,1.8779059262480358e-09,True,pot,181.76977389154297,0.8138548395078358
20,0.05,157.67506033652597,8.298429582462239,4017.55819330863,1.7867651802561113e-16,1.1743325293092632e-08,True,pot,244.69017957914906,0.0
50,0.05,227.99195590732336,8.517021481681407,4999.141525032213,1.1709383462843448e-16,3.85847506896575e-09,True,pot,316.37943125980735,0.572888442962335
